category,phrase,raw_score,delta_vs_baseline
Projection,G-League prospect,1.2078813752276714,0.12915865241253344
Projection,fringe NBA player,1.2022481775789946,0.12352545476385668
Skills,elite passer,1.14164866438431,0.06292594156917208
Projection,All-Star potential,1.1373072321099587,0.05858450929482073
Size / Frame,NBA-ready frame,1.1196235540492718,0.040900831234133905
Athleticism,below average athleticism,1.1187609249305737,0.04003820211543574
Athleticism,explosive athlete,1.088585519250458,0.009862796435320176
Shooting,poor free throw shooter,1.081634645877927,0.002911923062788979
Motor / Character,high basketball IQ,1.0774377320696107,-0.001284990745527237
Defense,lockdown defender,1.073690507698447,-0.00503221511669083
Athleticism,average athlete,1.072813453831661,-0.00590926898347699
Shooting,inconsistent jumper,1.0719542849849029,-0.006768437830235063
Defense,poor defensive instincts,1.0694943443105518,-0.009228378504586132
Athleticism,high level athlete,1.0618226504338384,-0.016900072381299536
Motor / Character,low basketball IQ,1.0582312425250449,-0.020491480290093067
Projection,future starter,1.0460722846722086,-0.03265043814292934
Skills,elite finisher at the rim,1.0374373428053778,-0.04128538000976012
Skills,advanced ball handler,1.031765144139832,-0.04695757867530603
Shooting,knockdown shooter from deep,1.0284706317325154,-0.05025209108262252
Defense,weak defender,1.020248108421938,-0.05847461439320001
Size / Frame,needs to add strength,1.013374465817712,-0.06534825699742597
Shooting,elite shooter,1.0010180327466465,-0.07770469006849146
Defense,switchable defender,0.9990393721246612,-0.07968335069047672
Projection,rotation player,0.9962684342984262,-0.08245428851671177
Skills,turnover prone,0.9946926764848586,-0.08403004633027933
Size / Frame,slight build,0.9819637013648994,-0.09675902145023851
Defense,rim protector,0.9801802646998813,-0.09854245811525664
Projection,two-way player,0.9653479862105462,-0.11337473660459174
Motor / Character,relentless competitor,0.9526384907540097,-0.12608423206112818
Motor / Character,blue collar,0.9489289958540018,-0.1297937269611361
Motor / Character,questionable work ethic,0.9480747568525083,-0.13064796596262962
Size / Frame,great length,0.9466317088058548,-0.13209101400928314
Shooting,limited shooting range,0.9439095378844643,-0.13481318493067362
Size / Frame,undersized,0.9322417614645461,-0.14648096135059185
Projection,lottery pick,0.9279022052412468,-0.15082051757389114
Skills,poor handle,0.9192459597724704,-0.15947676304266756
Motor / Character,high motor,0.9123207987218568,-0.16640192409328114
Motor / Character,low motor,0.8897416383986488,-0.1889810844164891
Athleticism,limited burst,0.879566208478027,-0.1991565143371109
